ticker,n_buy,n_sell,total_bought_usd,total_sold_usd,total_fees,realized_pnl,unrealized_pnl,total_pnl
SI=F,9,0,3.2,0.0,0.0031,0.0,7.56,7.56
LDO.MI,9,0,2.83,0.0,0.0028,0.0,6.0,6.0
TSLA,10,0,3.19,0.0,0.0031,0.0,4.53,4.53
GC=F,9,0,3.34,0.0,0.0033,0.0,3.8,3.8
GLD,9,0,3.24,0.0,0.0032,0.0,3.59,3.59
JPM,9,0,3.25,0.0,0.0033,0.0,3.02,3.02
NG=F,9,0,3.25,0.0,0.0033,0.0,2.95,2.95
AMZN,10,0,5.34,0.0,0.0053,0.0,2.51,2.51
FTSEMIB.MI,9,0,4.63,0.0,0.0046,0.0,2.13,2.13
JNJ,9,0,5.31,0.0,0.0053,0.0,2.06,2.06
EEM,9,0,4.1,0.0,0.0039,0.0,2.03,2.03
BTC-USD,9,0,1.77,0.0,0.0017,0.0,1.89,1.89
IVV,9,0,4.07,0.0,0.0039,0.0,1.84,1.84
SPY,9,0,4.06,0.0,0.0039,0.0,1.82,1.82
V,9,0,4.96,0.0,0.0049,0.0,1.52,1.52
EFA,9,0,3.97,0.0,0.0038,0.0,1.46,1.46
NFLX,9,0,2.17,0.0,0.0022,0.0,1.44,1.44
ENI.MI,9,0,4.82,0.0,0.0048,0.0,1.23,1.23
HG=F,9,0,1.88,0.0,0.0019,0.0,0.89,0.89
XOM,9,0,2.41,0.0,0.0024,0.0,0.64,0.64
^GSPC,9,0,1.35,0.0,0.0013,0.0,0.56,0.56
VNQ,9,0,3.76,0.0,0.0037,0.0,0.54,0.54
KO,9,0,2.0,0.0,0.0021,0.0,0.48,0.48
MSFT,10,0,1.7,0.0,0.0017,0.0,0.4,0.4
ETH-USD,9,0,1.06,0.0,0.001,0.0,0.32,0.32
BND,9,0,2.61,0.0,0.0026,0.0,0.23,0.23
CVX,9,0,1.7,0.0,0.0017,0.0,0.21,0.21
EURUSD=X,9,0,2.1,0.0,0.0021,0.0,0.18,0.18
USDJPY=X,9,0,2.89,0.0,0.0029,0.0,0.17,0.17
IEF,9,0,1.51,0.0,0.0014,0.0,0.11,0.11
WMT,9,0,0.03,0.0,0.0,0.0,0.03,0.03
GOOGL,0,0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,0,0,0.0,0.0,0.0,0.0,0.0,0.0
MA,0,0,0.0,0.0,0.0,0.0,0.0,0.0
UNH,0,0,0.0,0.0,0.0,0.0,0.0,0.0
XLE,0,0,0.0,0.0,0.0,0.0,0.0,0.0
^IXIC,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ISP.MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0
ENEL.MI,0,0,0.0,0.0,0.0,0.0,0.0,0.0
NVDA,0,0,0.0,0.0,0.0,0.0,0.0,0.0
META,0,0,0.0,0.0,0.0,0.0,0.0,0.0
QQQ,0,0,0.0,0.0,0.0,0.0,0.0,0.0
XLF,0,0,0.0,0.0,0.0,0.0,0.0,0.0
PFE,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SLV,0,0,0.0,0.0,0.0,0.0,0.0,0.0
CL=F,0,0,0.0,0.0,0.0,0.0,0.0,0.0
TLT,0,0,0.0,0.0,0.0,0.0,0.0,0.0
SHOP,0,0,0.0,0.0,0.0,0.0,0.0,0.0
BA,0,0,0.0,0.0,0.0,0.0,0.0,0.0
USO,9,0,2.79,0.0,0.0027,0.0,-0.01,-0.01
RACE.MI,9,0,4.6,0.0,0.0046,0.0,-0.14,-0.14
